Name,Counts,Gender,Arek,Kinga,Counts_2022
PIOTR,700289,male,Unknown,Unknown,1046.0
KRZYSZTOF,659470,male,Unknown,Unknown,703.0
ANDRZEJ,578355,male,Unknown,Unknown,75.0
TOMASZ,541293,male,Unknown,Unknown,490.0
JAN,516599,male,Unknown,Unknown,3246.0
PAWEŁ,512682,male,Unknown,Unknown,408.0
MICHAŁ,486736,male,Unknown,Unknown,1393.0
MARCIN,453552,male,Unknown,Unknown,171.0
STANISŁAW,414147,male,Unknown,Unknown,2174.0
JAKUB,399271,male,Unknown,Unknown,2751.0
ADAM,398735,male,Unknown,Unknown,1622.0
MAREK,397430,male,Unknown,Unknown,101.0
ŁUKASZ,385363,male,Unknown,Unknown,159.0
GRZEGORZ,384716,male,Unknown,Unknown,247.0
MATEUSZ,371835,male,Unknown,Unknown,634.0
WOJCIECH,328064,male,Unknown,Unknown,1829.0
MARIUSZ,293496,male,Unknown,Unknown,21.0
DARIUSZ,293205,male,Unknown,Unknown,38.0
ZBIGNIEW,289308,male,Unknown,Unknown,31.0
JERZY,273017,male,Unknown,Unknown,204.0
MACIEJ,266186,male,Unknown,Unknown,509.0
RAFAŁ,263844,male,Unknown,Unknown,141.0
ROBERT,263140,male,Unknown,Unknown,162.0
JÓZEF,251742,male,Unknown,Unknown,299.0
KAMIL,248920,male,Unknown,Unknown,298.0
JACEK,239516,male,Unknown,Unknown,67.0
TADEUSZ,234145,male,Unknown,Unknown,453.0
DAWID,231469,male,Unknown,Unknown,781.0
RYSZARD,231047,male,Unknown,Unknown,195.0
SZYMON,218992,male,Unknown,Unknown,2154.0
KACPER,211049,male,Unknown,Unknown,1692.0
JANUSZ,198174,male,Unknown,Unknown,10.0
BARTOSZ,197650,male,Unknown,Unknown,694.0
JAROSŁAW,196644,male,Unknown,Unknown,19.0
MIROSŁAW,192522,male,Unknown,Unknown,29.0
SŁAWOMIR,192413,male,Unknown,Unknown,12.0
HENRYK,191128,male,Unknown,Unknown,482.0
ARTUR,187882,male,Unknown,Unknown,436.0
SEBASTIAN,184270,male,Unknown,Unknown,230.0
DAMIAN,183396,male,Unknown,Unknown,154.0
PATRYK,177497,male,Unknown,Unknown,258.0
KAZIMIERZ,171883,male,Unknown,Unknown,349.0
PRZEMYSŁAW,166498,male,Unknown,Unknown,127.0
DANIEL,165356,male,Unknown,Unknown,359.0
KAROL,163179,male,Unknown,Unknown,614.0
ROMAN,159113,male,Unknown,Unknown,104.0
MARIAN,155407,male,Unknown,Unknown,13.0
WIESŁAW,153553,male,Unknown,Unknown,6.0
ANTONI,147920,male,Unknown,Unknown,3431.0
FILIP,147756,male,Unknown,Unknown,2105.0
ADRIAN,145826,male,Unknown,Unknown,261.0
ARKADIUSZ,135285,male,Unknown,Unknown,68.0
ALEKSANDER,129096,male,Unknown,Unknown,3039.0
DOMINIK,128381,male,Unknown,Unknown,633.0
BARTŁOMIEJ,123183,male,Unknown,Unknown,338.0
LESZEK,122620,male,Unknown,Unknown,24.0
FRANCISZEK,120771,male,Unknown,Unknown,2923.0
WALDEMAR,114926,male,Unknown,Unknown,10.0
MIKOŁAJ,113922,male,Unknown,Unknown,2165.0
ZDZISŁAW,110727,male,Unknown,Unknown,6.0
KRYSTIAN,110639,male,Unknown,Unknown,214.0
RADOSŁAW,103900,male,Unknown,Unknown,117.0
WIKTOR,103429,male,Unknown,Unknown,1407.0
BOGDAN,102611,male,Unknown,Unknown,73.0
EDWARD,97085,male,Unknown,Unknown,53.0
MIECZYSŁAW,93660,male,Unknown,Unknown,16.0
KONRAD,90698,male,Unknown,Unknown,116.0
WŁADYSŁAW,90553,male,Unknown,Unknown,75.0
HUBERT,84321,male,Unknown,Unknown,552.0
CZESŁAW,82138,male,Unknown,Unknown,23.0
IGOR,76382,male,Unknown,Unknown,1130.0
EUGENIUSZ,75083,male,Unknown,Unknown,3.0
OSKAR,67307,male,Unknown,Unknown,962.0
STEFAN,66192,male,Unknown,Unknown,251.0
BOGUSŁAW,64976,male,Unknown,Unknown,19.0
ZYGMUNT,63650,male,Unknown,Unknown,15.0
IRENEUSZ,63396,male,Unknown,Unknown,9.0
MARCEL,61052,male,Unknown,Unknown,1542.0
WITOLD,57917,male,Unknown,Unknown,287.0
MAKSYMILIAN,56685,male,Unknown,Unknown,1535.0
SYLWESTER,56191,male,Unknown,Unknown,20.0
MIŁOSZ,54671,male,Unknown,Unknown,1149.0
WŁODZIMIERZ,52884,male,Unknown,Unknown,6.0
ZENON,49554,male,Unknown,Unknown,4.0
ALAN,44642,male,Unknown,Unknown,562.0
OLIWIER,44037,male,Unknown,Unknown,1265.0
CEZARY,43894,male,Unknown,Unknown,425.0
NIKODEM,40734,male,Unknown,Unknown,2805.0
NORBERT,40147,male,Unknown,Unknown,46.0
LEON,38076,male,Unknown,Unknown,2499.0
GABRIEL,34652,male,Unknown,Unknown,886.0
JULIAN,34110,male,Unknown,Unknown,1002.0
BŁAŻEJ,32016,male,Unknown,Unknown,128.0
OLEKSANDR,29901,male,Unknown,Unknown,120.0
FABIAN,29140,male,Unknown,Unknown,529.0
BRONISŁAW,28361,male,Unknown,Unknown,11.0
IGNACY,27790,male,Unknown,Unknown,2003.0
EMIL,27559,male,Unknown,Unknown,208.0
ERYK,27508,male,Unknown,Unknown,266.0
WACŁAW,27190,male,Unknown,Unknown,0.0
TYMOTEUSZ,26913,male,Unknown,Unknown,1188.0
LECH,26503,male,Unknown,Unknown,3.0
BOLESŁAW,23960,male,Unknown,Unknown,23.0
TYMON,22445,male,Unknown,Unknown,1602.0
BERNARD,19887,male,Unknown,Unknown,18.0
EDMUND,19300,male,Unknown,Unknown,18.0
SERHII,18945,male,Unknown,Unknown,11.0
VOLODYMYR,18851,male,Unknown,Unknown,24.0
ANDRII,18692,male,Unknown,Unknown,25.0
REMIGIUSZ,18354,male,Unknown,Unknown,134.0
KSAWERY,17755,male,Unknown,Unknown,405.0
NATAN,17184,male,Unknown,Unknown,598.0
LUCJAN,16410,male,Unknown,Unknown,97.0
OLAF,15998,male,Unknown,Unknown,282.0
ROMUALD,15944,male,Unknown,Unknown,2.0
BORYS,15082,male,Unknown,Unknown,334.0
KAJETAN,14778,male,Unknown,Unknown,312.0
SZCZEPAN,14018,male,Unknown,Unknown,22.0
ALBERT,13689,male,Unknown,Unknown,100.0
SEWERYN,13575,male,Unknown,Unknown,56.0
GRACJAN,13502,male,Unknown,Unknown,78.0
ALFRED,13351,male,Unknown,Unknown,3.0
KUBA,13292,male,Unknown,Unknown,333.0
DMYTRO,13100,male,Unknown,Unknown,79.0
TOBIASZ,13096,male,Unknown,Unknown,174.0
IVAN,12753,male,Unknown,Unknown,59.0
LUDWIK,12185,male,Unknown,Unknown,87.0
JOACHIM,11663,male,Unknown,Unknown,22.0
MYKOLA,11628,male,Unknown,Unknown,11.0
LESŁAW,11371,male,Unknown,Unknown,6.0
BOGUMIŁ,11212,male,Unknown,Unknown,32.0
VASYL,11002,male,Unknown,Unknown,5.0
GERARD,10991,male,Unknown,Unknown,14.0
VITALII,10984,male,Unknown,Unknown,2.0
ERNEST,10833,male,Unknown,Unknown,61.0
